,0
label_Style & Fashion>Men's Fashion>Men's Accessories>Men's Jewellery and Watches,0
label_Style & Fashion>Men's Fashion>Men's Clothing,1
label_Style & Fashion>Personal Care>Bath and Shower,0
label_Style & Fashion>Personal Care>Shaving,0
label_Style & Fashion>Women's Fashion,0
label_Style & Fashion>Women's Fashion>Women's Accessories,1
label_Style & Fashion>Women's Fashion>Women's Accessories>Women's Jewellery and Watches,0
label_Style & Fashion>Women's Fashion>Women's Clothing>Women's Intimates and Sleepwear,0
label_Technology & Computing,6
label_Technology & Computing>Artificial Intelligence,0
label_Technology & Computing>Augmented Reality,1
label_Technology & Computing>Computing,0
label_Technology & Computing>Computing>Computer Peripherals,0
label_Technology & Computing>Computing>Computer Software and Applications>Browsers,0
label_Technology & Computing>Computing>Computer Software and Applications>Digital Audio,1
label_Technology & Computing>Computing>Computer Software and Applications>Operating Systems,0
label_Technology & Computing>Computing>Computer Software and Applications>Video Software,1
label_Technology & Computing>Computing>Computer Software and Applications>Web Conferencing,1
label_Technology & Computing>Computing>Desktops,0
label_Technology & Computing>Computing>Information and Network Security,0
label_Technology & Computing>Computing>Internet,0
label_Technology & Computing>Computing>Internet>Cloud Computing,2
label_Technology & Computing>Computing>Internet>Search,1
label_Technology & Computing>Computing>Internet>Social Networking,8
label_Technology & Computing>Computing>Programming Languages,0
label_Technology & Computing>Consumer Electronics,2
label_Technology & Computing>Consumer Electronics>Cameras and Camcorders,0
label_Technology & Computing>Consumer Electronics>Smartphones,0
label_Technology & Computing>Consumer Electronics>Tablets and E-readers,0
label_Technology & Computing>Robotics,0
label_Technology & Computing>Virtual Reality,0
label_Television,29
label_Television>Animation TV,0
label_Television>Drama TV,1
label_Television>Factual TV,1
label_Television>Music TV,0
label_Travel,264
label_Travel>Travel Accessories,1
label_Travel>Travel Locations,10
label_Travel>Travel Locations>Africa Travel,0
label_Travel>Travel Locations>Asia Travel,260
label_Travel>Travel Locations>Australia and Oceania Travel,0
label_Travel>Travel Locations>Europe Travel,14
label_Travel>Travel Locations>North America Travel,223
label_Travel>Travel Locations>Polar Travel,0
label_Travel>Travel Locations>South America Travel,1
label_Travel>Travel Preparation and Advice,9
label_Travel>Travel Type,9
label_Travel>Travel Type>Adventure Travel,6
label_Travel>Travel Type>Air Travel,0
label_Travel>Travel Type>Bed & Breakfasts,0
label_Travel>Travel Type>Budget Travel,0
label_Travel>Travel Type>Business Travel,0
label_Travel>Travel Type>Camping,1
label_Travel>Travel Type>Cruises,1
label_Travel>Travel Type>Day Trips,0
label_Travel>Travel Type>Family Travel,4
label_Travel>Travel Type>Honeymoons and Getaways,0
label_Travel>Travel Type>Hotels and Motels,22
label_Travel>Travel Type>Rail Travel,0
label_Travel>Travel Type>Road Trips,2
label_Travel>Travel Type>Spas,1
label_Video Gaming,0
label_Video Gaming>Video Game Genres>Adventure Video Games,0
label_Video Gaming>Video Game Genres>Casual Games,0
label_Video Gaming>Video Game Genres>MMOs,0
label_Video Gaming>Video Game Genres>Role-Playing Video Games,0
